date,Source,Target,revpct_min,revpct_avg,revpct_med,revpct_max,delta_raw,Weight
2019-12-31,"000LMZ-E","000BDW-E",,,,,.011765532,""
2019-12-31,"000KYG-E","000BFS-E",,,,,.0041628769,""
2019-12-31,"002Q2X-E","000BFS-E",,,,,.0017556723,""
2019-12-31,"05L396-E","000BFS-E",,,,,1,"1.0"
2019-12-31,"000Y55-E","000BFS-E",,,,,.0055674664,""
2019-12-31,"000FC8-E","000BFS-E",,,,,.013280036,"0.013416166208488204"
2019-12-31,"002YCC-E","000BFS-E",,,,,.01129871,"0.012125344811226542"
2019-12-31,"05HWQV-E","000BFS-E",,,,,.020676225,"0.020676374105479452"
2019-12-31,"00DZZ3-E","000BFS-E",,,,,.012767514,"0.025706244440124367"
2019-12-31,"0034R9-E","000BFS-E",,,,,.022890961,"0.02304306634878492"
2019-12-31,"000C32-E","000BFS-E",,,,,.010270401,"0.012681406980239963"
2019-12-31,"000KYG-E","000BFT-E",,,,,.00030657253,""
2019-12-31,"000VPP-E","000BFT-E",,,,,.00018253196,""
2019-12-31,"000FFS-E","000BFT-E",,,,,.0094841253,""
2019-12-31,"000TCK-E","000BFT-E",,,,,.001317124,""
2019-12-31,"05WSLG-E","000BFT-E",,,,,.27018201,"0.2701820136945143"
2019-12-31,"000P2H-E","000BFT-E",,,,,.000132532,""
2019-12-31,"002MYF-E","000BFT-E",,,,,.0022136827,""
2019-12-31,"000C1W-E","000BFT-E",,,,,.000089933426,""
2019-12-31,"0FM7LR-E","000BFT-E",,,,,.00030117598,""
2019-12-31,"0CRZG8-E","000BFT-E",,,,,.068909124,"0.07104601118572884"
2019-12-31,"000P3W-E","000BFT-E",,,,,.00045604599,""
2019-12-31,"000YVZ-E","000BFT-E",,,,,.00054551981,""
2019-12-31,"0B5S8C-E","000BG2-E",,,,,.0065869354,""
2019-12-31,"000FFH-E","000BG2-E",,,,,.026737297,"0.027637952243384358"
2019-12-31,"073R31-E","000BG2-E",,,,,.020132344,"0.020657521097468302"
2019-12-31,"0014B1-E","000BG2-E",10,10,10,10,.057076555,"0.06030440237899408"
2019-12-31,"001WGT-E","000BG2-E",11,15,15,19,.070327446,"0.07436826570036716"
2019-12-31,"05KK69-E","000BG2-E",,,,,.10467171,"0.10469488484914005"
2019-12-31,"0088RM-E","000BG2-E",,,,,.025081322,"0.02521282340307151"
2019-12-31,"002YB1-E","000BG2-E",12,12,12,12,.054866891,"0.05963973673068781"
2019-12-31,"000KR9-E","000BG2-E",,,,,.013661738,"0.015110726665532183"
2019-12-31,"0073Z4-E","000BG2-E",,,,,.06846983,"0.07008299599719578"
2019-12-31,"070M60-E","000BG2-E",,,,,.0085016331,""
2019-12-31,"000C80-E","000BG2-E",,,,,.10777631,"0.10777630938304236"
2019-12-31,"000HXM-E","000BG2-E",,,,,.010037242,"0.010326659945107354"
2019-12-31,"0JF2TT-E","000BG2-E",,,,,.0031738554,""
2019-12-31,"0BGZ82-E","000BG2-E",,,,,.0066082417,""
2019-12-31,"008K3X-E","000BG2-E",,,,,.01012766,"0.016348156243702446"
2019-12-31,"06LJVN-E","000BG2-E",,,,,.40153962,"0.4596485935331492"
2019-12-31,"000JBM-E","000BG2-E",,,,,.0094323503,""
2019-12-31,"000N2T-E","000BG2-E",,,,,.0027266599,""
2019-12-31,"000TSB-E","000BG2-E",,,,,.0064979699,""
2019-12-31,"07WX1P-E","000BG2-E",,,,,.065430388,"0.06685939893421933"
2019-12-31,"002MVL-E","000BG2-E",,,,,.045205615,"0.04945170679398474"
2019-12-31,"000TN9-E","000BG2-E",,,,,.43884662,"0.438846605197932"
2019-12-31,"000Q98-E","000BG2-E",,,,,.05600144,"0.05824546175006055"
2019-12-31,"006KK9-E","000BG2-E",,,,,.60290653,"0.6029065582381665"
2019-12-31,"05J5TY-E","000BG2-E",,,,,.0087247044,""
2019-12-31,"0018G2-E","000BG2-E",,,,,.012889458,"0.01342884025051638"
2019-12-31,"062YCW-E","000BG2-E",,,,,.041460659,"0.04627963412357663"
2019-12-31,"0LDXT7-E","000BG4-E",,,,,.0024009631,""
2019-12-31,"0755DX-E","000BGD-E",,,,,.057892758,""
2019-12-31,"008QMK-E","000BGZ-E",,,,,,""
2019-12-31,"000Y91-E","000BGZ-E",,,,,,""
2019-12-31,"0014N4-E","000BGZ-E",,,,,,""
2019-12-31,"000PHP-E","000BGZ-E",,,,,,""
2019-12-31,"000VQ3-E","000BGZ-E",,,,,,""
2019-12-31,"000WF5-E","000BGZ-E",,,,,,""
2019-12-31,"000L9G-E","000BGZ-E",,,,,,""
2019-12-31,"0FQCW5-E","000BGZ-E",,,,,,""
2019-12-31,"0D4531-E","000BGZ-E",,,,,,""
2019-12-31,"008MFH-E","000BGZ-E",,,,,,""
2019-12-31,"000T9J-E","000BGZ-E",,,,,,""
2019-12-31,"000VLT-E","000BGZ-E",,,,,,""
2019-12-31,"06FRBD-E","000BGZ-E",,,,,,""
2019-12-31,"002M71-E","000BGZ-E",,,,,,""
