date,Id,name,cusip,gsector,sic,atq,cogsq,invtq,outdeg,deg,bc,outcc,cc,upstreamness,layer,deg_wt,bc_wt,layer_wt,layer_qt,country,lat,lng,layer_cons
2019-12-31,"000BDW-E","ChoiceOne Financial Services, Inc.","170386","40","6020",1386.128,1.675,4.024,0,1,0,0,.000018066896,,,,,,,"US",43.160755,-85.70717999999999,
2019-12-31,"000BFS-E","AAR Corp.","000361","20","5080",1754.9,464,649.5,34,44,.0010160996,.000012170204,.000023557381,3.6816239,2,105535,.0014692944,7.4799271,2,"US",41.9621315,-87.97888184,2
2019-12-31,"000BFT-E","Aaron's LLC","74319R","40","6141",3297.8,34.171,14,6,17,.00031967458,.000011297611,.000023897113,3.8397436,1,24578.031,.000022679464,5.0410438,2,"US",33.883774,-84.46407000000001,1
2019-12-31,"000BG2-E","Abbott Laboratories","002824","35","3845",67887,3099,4316,3,31,.000066653927,7.4747763e-06,.000024147537,5.8888888,1,61984.684,.000093827308,1,0,"US",42.304277,-87.88687400000001,1
2019-12-31,"000BG4-E","Ameris Bancorp","03076K","40","6020",18242.579,44.418,1676.211,0,1,0,0,.000016109201,,,,,,,"US",33.84968,-84.377,
2019-12-31,"000BGB-E","ABM Industries, Inc.","000957","20","7340",3692.6,1441,0,16,16,0,.000013029043,.000023554245,3.3055556,1,124265.67,0,5.1133347,2,"US",40.709703,-74.01083,1
2019-12-31,"000BGD-E","Abraxas Petroleum Corp.","003830","10","1311",354.631,60.889,0,0,1,0,0,.000012590349,,,,,,,"US",29.615646,-98.48172,
2019-12-31,"000BGZ-E","Ace Hardware Corp.","","","",,,,0,3,0,0,.00001874748,,,,,,,"US",41.842857,-87.9526,
2019-12-31,"000BH1-E","Aceto Corp.","004446","","",,,,35,35,0,.000011223071,.000024332132,3.9487178,1,370358.09,0,5.8773994,2,"US",40.835587,-73.69987500000001,1
2019-12-31,"000BHL-E","Acme United Corp.","004816","20","3420",110.749,20.723,39.261,2,4,.000094512892,8.7895742e-06,.000021720809,4.9700856,1,2298.6919,8.6977806e-08,1,0,"US",41.1482,-73.25168600000001,1
2019-12-31,"000BJ8-E","Adams Resources & Energy, Inc.","006351","10","5172",330.842,421.884,26.407,0,1,0,0,.000015229726,,,,,,,"US",29.75139,-95.450891,
2019-12-31,"000BJT-E","Adobe, Inc.","00724F","45","7370",20762.4,303.681,0,29,55,.00045588749,.000013118432,.000024845214,3.2542734,1,10742.628,.000021548753,3.564157,1,"US",37.328583,-121.89694,1
2019-12-31,"000BJZ-E","Advance Publications, Inc.","","","",,,,2,4,9.8223140e-08,8.5550100e-06,.000019308334,5.2628207,1,3664.0371,0,1,0,"US",40.71358109,-74.00834656000001,1
2019-12-31,"000BK1-E","MoistureShield, Inc.","007947","","",,,,8,8,0,8.7104117e-06,.000020230973,5.2329059,1,13489.804,0,1.1341163,1,"US",36.212025,-94.119865,1
2019-12-31,"000BK7-E","Advanced Micro Devices, Inc.","007903","45","3674",6028,1114,982,31,41,.00033050991,.000013838508,.000025133137,3.1367521,1,146297.69,.000037987556,3.1690383,1,"US",37.382294,-121.97213,1
2019-12-31,"000BL5-E","Diversicare Healthcare Services, Inc.","255104","35","8051",440.368,109.737,0,1,2,.000025591953,.000010290725,.000020486717,4.4529915,2,,,,,"US",35.96938,-86.80964,2
2019-12-31,"000BMH-E","Aflac, Inc.","001055","40","6321",152768,4489,0,4,6,2.1537339e-06,8.5723614e-06,.00001999192,5.4529915,3,,,,,"US",32.468582,-84.96418,3
2019-12-31,"000BMJ-E","AGCO Corp.","001084","20","3523",7759.7,1948.4,2078.7,3,23,.00045049543,8.0371428e-06,.000020856114,5.6581197,3,,,,,"US",34.016266,-84.164185,3
2019-12-31,"000BN6-E","Air Methods Corp.","009128","","",,,,1,5,.000059268521,.00001028884,.000022276939,4.4529915,2,,,,,"US",39.616673,-104.904015,2
2019-12-31,"000BN8-E","Air Products & Chemicals, Inc.","009158","15","2810",19651.6,1197.4,400.6,20,22,.00024242753,.000011497084,.000022379481,3.8311965,2,55244.801,6.5233358e-08,9.4323931,3,"US",40.552262,-75.59917,2
2019-12-31,"000BNF-E","Airgas, Inc.","009363","","",,,,2,4,.00003655285,8.8370089e-06,.000019886334,5.2371793,3,1559,0,4.3273273,2,"US",40.040146,-75.36518,3
2019-12-31,"000BNN-E","Cleveland-Cliffs Steel Holding Corp.","001547","15","3312",4590.6,1342.2,1346.2,5,14,.00019404005,.000010149109,.000022242222,4.3098292,1,44824.531,.000092435665,1.0193663,1,"US",39.327329,-84.428167,1
2019-12-31,"000BNP-E","Akorn, Inc.","009728","35","2834",1288.639,94.762,170.047,20,21,.00024539197,.000010481903,.000023016317,4.1004272,1,310211.28,0,6.6025991,2,"US",42.24253,-87.89243999999999,1
2019-12-31,"000BNR-E","Alabama Power Co.","","","",,,,,,,,,,,,,,,"US",33.51789,-86.812712,
2019-12-31,"000BNX-E","Alaska Air Group, Inc.","011659","20","4512",12993,1640,72,0,16,0,0,.000022412927,,,,,,,"US",47.429014,-122.294216,
2019-12-31,"000BP4-E","Albany International Corp.","012348","20","2221",1474.368,143.206,95.149,7,7,0,.000010644775,.000021848453,4.3482904,2,49259,0,7.3737407,2,"US",43.284695,-70.92475,2
2019-12-31,"000BP5-E","Albemarle Corp.","012653","15","2810",9860.862999999999,596.187,768.984,3,5,1.1325162e-06,9.6886006e-06,.000020008645,4.645299,2,1298.533,1.3046672e-07,2.6461737,1,"US",35.155224,-80.83754,2
2019-12-31,"000BPP-E","Alexander & Baldwin Investments LLC","014491","60","6798",2084.3,80.90000000000001,30.7,8,8,0,.000010620753,.000022317394,4.0106835,1,255617.8,0,3.9632761,1,"US",21.307709,-157.86264,1
2019-12-31,"000BPS-E","Alexander's, Inc.","014752","60","6798",1265.511,30.656,0,9,10,.000040704694,.000010415883,.000021455369,4.2521367,1,57665.313,0,1,0,"US",40.91511,-74.054666,1
2019-12-31,"000BQ3-E","Alico, Inc.","016230","30","0100",405.069,6.248,43.288,1,1,0,9.1781840e-06,.000019496802,4.5884862,0,0,0,0,0,"US",26.546078,-81.79218,0
2019-12-31,"000BQC-E","Alleghany Corp.","017175","40","6331",26931.604,2178.935,,9,21,.00058506633,8.5344718e-06,.000022319082,5.3333335,1,32451.719,8.0454475e-07,25.097197,3,"US",40.75367,-73.987076,1
2019-12-31,"000BRC-E","Alliance HealthCare Services, Inc.","018606","","",,,,1,10,.00027442767,.00001028884,.000023430131,4.4529915,2,,,,,"US",33.678898,-117.851715,2
2019-12-31,"000BT9-E","RegeneRx Biopharmaceuticals, Inc.","75886X","35","2834",.712,.319,0,2,3,.000071833536,7.3397732e-06,.000020486717,6.4529915,4,,,,,"US",39.108124,-77.18772300000001,3
2019-12-31,"000BTB-E","Skyworks Solutions, Inc.","83088M","45","3674",5091.8,369.1,604.4,29,32,.000071579387,.000014449683,.000025145993,3.0491452,1,172292.2,.000019091629,3.9961803,1,"US",33.637445,-117.848651,1
2019-12-31,"000BTF-E","Alpha Technologies Group, Inc.","020781","","",,,,1,2,4.1094221e-08,7.8411784e-09,.000017886485,,,,,,,"US",34.051853,-118.472426,
2019-12-31,"000BV4-E","Ambac Financial Group, Inc.","023139","40","6351",13320,119.663,0,11,18,.0005193731,9.8082028e-06,.000020915764,4.7158117,2,18814.045,.0001869588,12.113755,3,"US",41.49981914,-74.10929233,2
2019-12-31,"000BVL-E","Hess Corp.","42809H","10","1311",21782,815,261,2,26,.000055915814,1.5682357e-08,.000022123217,,,,,,,"US",40.75756,-73.98214,
2019-12-31,"000BVM-E","AMERCO","023586","20","7510",12994.322,676.713,103.003,1,6,.000040299386,7.8411784e-09,.000022285356,,,,,,,"US",39.465393,-119.790215,
2019-12-31,"000BWJ-E","American Biltrite, Inc.","024591","15","2670",132.568,141.626,33.841,0,3,0,0,.000018331517,,,,,,,"US",42.3235,-71.25654,
2019-12-31,"000BXZ-E","US Ecology Holdings, Inc.","91734M","20","4955",2231.244,142.349,0,,,,,,,,,,,,"US",43.614967,-116.20237,
2019-12-31,"000BY1-E","American Electric Power Co., Inc.","025537","55","4911",75892.3,2680.4,1169.2,10,39,.00025313976,9.8469454e-06,.000023684119,4.6602564,2,80664.961,.00031305489,6.8688622,2,"US",39.965042,-83.006636,2
2019-12-31,"000BY7-E","American Express Co.","025816","40","6141",198321,9546,0,22,55,.0014851715,.000012446821,.000024567908,3.3547008,1,285624.28,.0014955399,11.650314,3,"US",40.713629,-74.014814,1
2019-12-31,"000BZ0-E","American Greetings Corp.","026375","","",,,,0,4,0,0,.000022449887,,,,,,,"US",41.454923,-81.950411,
2019-12-31,"000BZ4-E","Tivity Health, Inc.","88870R","35","8090",1625.905,164.321,36.407,3,5,.000025365211,8.7705748e-06,.000020160909,5.3012819,2,45951.32,4.3488903e-08,2,1,"US",35.946125,-86.80842,2
2019-12-31,"000BZV-E","American International Group, Inc.","026874","40","6331",525064,9104,0,6,23,.00043770063,5.9170625e-06,.000023397915,8.0064106,4,155165.58,.0000903482,10.087626,3,"US",40.760303,-73.98014000000001,3
2019-12-31,"000C0J-E","American National Bankshares, Inc. (Virginia)","027745","40","6020",2478.55,4.604,3.335,0,2,0,0,.00001883808,,,,,,,"US",36.5868,-79.39471,
2019-12-31,"000C1F-E","American Science & Engineering, Inc.","029429","","",,,,1,1,0,.000010290725,.00002048482,4.4529915,2,,,,,"US",42.527836,-71.25684,2
